 # step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  16000      6.79e-01    5.45e-01      9.76e-03    3.41e-03      2.25e-02    1.81e-02    9.0e-04
  16100      5.97e-01    6.86e-01      1.96e-03    6.06e-02      1.99e-02    2.25e-02    9.0e-04
  16200      6.32e-01    8.18e-01      3.36e-03    5.98e-02      2.10e-02    2.70e-02    9.0e-04
  16300      6.95e-01    5.77e-01      2.21e-02    2.29e-02      2.30e-02    1.90e-02    9.0e-04
  16400      5.76e-01    6.49e-01      3.07e-02    3.03e-02      1.88e-02    2.13e-02    9.0e-04
  16500      6.35e-01    7.19e-01      9.89e-03    3.39e-03      2.11e-02    2.39e-02    9.0e-04
  16600      6.20e-01    6.16e-01      9.41e-04    5.04e-03      2.07e-02    2.05e-02    9.0e-04
  16700      8.51e-01    5.70e-01      2.75e-02    2.52e-02      2.81e-02    1.88e-02    9.0e-04
  16800      1.09e+00    1.02e+00      1.88e-02    1.93e-02      3.63e-02    3.40e-02    9.0e-04
  16900      6.94e-01    7.96e-01      1.30e-02    1.17e-02      2.30e-02    2.65e-02    9.0e-04
  17000      5.32e-01    5.34e-01      1.34e-02    9.87e-03      1.77e-02    1.77e-02    9.0e-04
  17100      6.34e-01    5.72e-01      3.97e-02    3.11e-02      2.07e-02    1.87e-02    9.0e-04
  17200      6.02e-01    4.37e-01      3.90e-02    1.79e-02      1.97e-02    1.44e-02    9.0e-04
  17300      5.97e-01    6.75e-01      1.54e-02    6.71e-02      1.98e-02    2.21e-02    9.0e-04
  17400      6.21e-01    5.55e-01      1.41e-03    1.35e-03      2.07e-02    1.85e-02    9.0e-04
  17500      6.60e-01    7.83e-01      4.13e-02    9.06e-02      2.15e-02    2.54e-02    9.0e-04
  17600      7.26e-01    5.14e-01      7.57e-02    1.08e-02      2.37e-02    1.70e-02    9.0e-04
  17700      5.36e-01    4.48e-01      1.23e-02    5.40e-03      1.78e-02    1.49e-02    9.0e-04
  17800      6.95e-01    4.36e-01      2.77e-02    4.27e-04      2.30e-02    1.45e-02    9.0e-04
  17900      6.22e-01    7.58e-01      1.08e-02    1.45e-02      2.07e-02    2.52e-02    9.0e-04
  18000      6.53e-01    7.30e-01      2.49e-03    2.86e-03      2.17e-02    2.43e-02    9.0e-04
  18100      6.13e-01    5.80e-01      2.10e-02    4.13e-03      2.03e-02    1.93e-02    9.0e-04
  18200      6.39e-01    6.77e-01      3.10e-02    2.73e-02      2.10e-02    2.22e-02    9.0e-04
  18300      7.71e-01    6.95e-01      6.75e-03    8.11e-03      2.56e-02    2.31e-02    9.0e-04
  18400      5.76e-01    9.39e-01      1.82e-02    1.55e-02      1.91e-02    3.12e-02    9.0e-04
  18500      5.52e-01    7.28e-01      1.37e-02    7.40e-03      1.83e-02    2.42e-02    9.0e-04
  18600      5.86e-01    4.42e-01      1.50e-02    1.48e-02      1.94e-02    1.46e-02    9.0e-04
  18700      6.25e-01    5.02e-01      2.30e-03    2.96e-03      2.08e-02    1.67e-02    9.0e-04
  18800      5.16e-01    5.56e-01      1.34e-03    3.92e-04      1.72e-02    1.85e-02    9.0e-04
  18900      6.91e-01    5.62e-01      3.98e-03    2.86e-03      2.30e-02    1.87e-02    9.0e-04
  19000      5.66e-01    5.97e-01      2.09e-02    1.51e-02      1.87e-02    1.98e-02    9.0e-04
  19100      6.43e-01    7.19e-01      1.36e-02    1.39e-02      2.13e-02    2.39e-02    9.0e-04
  19200      5.85e-01    5.48e-01      8.22e-03    7.40e-03      1.94e-02    1.82e-02    9.0e-04
  19300      6.08e-01    6.68e-01      1.40e-02    7.87e-03      2.02e-02    2.22e-02    9.0e-04
  19400      5.60e-01    6.46e-01      1.81e-02    1.29e-02      1.85e-02    2.15e-02    9.0e-04
  19500      8.03e-01    6.79e-01      1.08e-02    9.98e-03      2.67e-02    2.26e-02    9.0e-04
  19600      5.54e-01    4.84e-01      2.24e-03    4.66e-03      1.84e-02    1.61e-02    9.0e-04
  19700      4.87e-01    5.34e-01      1.49e-03    5.33e-03      1.62e-02    1.78e-02    9.0e-04
  19800      5.93e-01    4.66e-01      3.98e-03    1.85e-03      1.97e-02    1.55e-02    9.0e-04
  19900      5.71e-01    6.00e-01      9.53e-04    3.79e-03      1.90e-02    2.00e-02    9.0e-04
  20000      6.54e-01    7.09e-01      2.54e-02    1.87e-02      2.26e-02    2.46e-02    8.1e-04
  20100      6.94e-01    5.52e-01      1.97e-02    4.67e-03      2.42e-02    1.93e-02    8.1e-04
  20200      5.63e-01    7.01e-01      5.29e-03    5.30e-02      1.97e-02    2.41e-02    8.1e-04
  20300      6.28e-01    5.51e-01      2.30e-03    3.24e-03      2.20e-02    1.93e-02    8.1e-04
  20400      5.29e-01    4.03e-01      7.68e-04    6.60e-04      1.85e-02    1.41e-02    8.1e-04
  20500      6.08e-01    5.63e-01      2.25e-02    1.90e-02      2.09e-02    1.95e-02    8.1e-04
  20600      5.55e-01    4.97e-01      7.21e-03    8.73e-03      1.94e-02    1.74e-02    8.1e-04
  20700      6.67e-01    5.54e-01      8.88e-03    2.32e-03      2.33e-02    1.94e-02    8.1e-04
  20800      6.40e-01    6.34e-01      2.37e-02    1.17e-02      2.22e-02    2.21e-02    8.1e-04
  20900      6.56e-01    6.49e-01      2.42e-02    3.23e-02      2.26e-02    2.25e-02    8.1e-04
  21000      6.31e-01    6.16e-01      9.08e-03    5.52e-02      2.20e-02    2.10e-02    8.1e-04
  21100      5.62e-01    5.43e-01      1.03e-02    3.36e-03      1.96e-02    1.90e-02    8.1e-04
  21200      6.25e-01    4.52e-01      5.88e-03    7.80e-03      2.19e-02    1.58e-02    8.1e-04
  21300      7.56e-01    8.65e-01      2.17e-02    2.39e-02      2.62e-02    3.00e-02    8.1e-04
  21400      5.75e-01    4.67e-01      8.40e-03    1.29e-02      2.01e-02    1.62e-02    8.1e-04
  21500      4.90e-01    5.94e-01      1.34e-03    5.32e-02      1.72e-02    2.03e-02    8.1e-04
  21600      7.19e-01    8.62e-01      2.01e-02    4.25e-02      2.51e-02    3.00e-02    8.1e-04
  21700      6.12e-01    4.02e-01      4.42e-03    6.60e-03      2.14e-02    1.41e-02    8.1e-04
  21800      6.55e-01    5.75e-01      7.95e-03    6.76e-03      2.29e-02    2.01e-02    8.1e-04
  21900      7.26e-01    7.19e-01      3.21e-03    1.13e-03      2.54e-02    2.52e-02    8.1e-04
  22000      6.03e-01    6.64e-01      1.27e-02    1.09e-02      2.10e-02    2.32e-02    8.1e-04
  22100      6.68e-01    6.06e-01      2.25e-03    7.24e-04      2.34e-02    2.12e-02    8.1e-04
